Lyman (n=1)
2 121.56844561723369
3 102.57337598954095
4 97.25475649378696
5 94.97534813846383
6 93.78137233329457
7 93.07584117569455
8 92.62357761313044
9 92.31603839058684
10 92.0973072857831
11 91.93613699803298
i 91.17633421292528

Balmer (n=2)
3 656.469606333062
4 486.27378246893477
5 434.1730200615489
6 410.2935039581638
7 397.12358901629676
8 389.0190259751478
9 383.651068636205
10 379.9013925538553
11 377.1738953765456
i 364.70533685170113

Paschen (n=3)
4 1875.6274466658917
5 1282.167199869262
6 1094.1160105551035
7 1005.219084697501
8 954.8648819389992
9 923.1603839058686
10 901.743964743217
11 886.5270353381752
i 820.5870079163276

Brackett (n=4)
5 4052.281520574457
6 2625.878425332248
7 2166.1286673616187
8 1945.095129875739
9 1817.9158329223255
10 1736.6920802461957
11 1681.1179336783175
i 1458.8213474068045

Pfund (n=5)
6 7459.881890148429
7 4653.792058784727
8 3740.5675574533443
9 3297.001371092387
10 3039.2111404308425
11 2873.0042811885305
i 2279.408355323132

Humphreys (n=6)
7 12371.927196276938
8 7502.509786663567
9 5908.226456997558
10 5128.668799477048
11 4672.5189627235595
i 3282.3480316653104

